default,student,balance,income
No,No,1463.2328916109,65457.8541875824
No,Yes,1722.3558462832,19311.4229408044
No,Yes,773.9218612577,14558.9121383835
No,No,958.169418469,32816.2847956415
No,No,1207.5327301495,68037.5751261777
No,No,1056.6108304963,30546.6010343774
No,No,117.6424839318,46550.2672705963
No,No,596.964119237,58088.3604512649
No,No,0,47729.6257581971
No,Yes,541.6627553245,16335.7034406021
No,No,1119.1783034181,45020.0191217013
No,Yes,810.3209364698,20498.66581411
No,No,271.551437747,32850.1201448079
No,No,1114.4032365043,47714.0221084582
No,No,867.0308280536,33540.9799848111
No,Yes,1176.7894016772,17632.712103849
No,No,610.2278186614,42465.3629640684
No,No,272.6156617155,55449.3386406402
No,No,449.7350858369,49643.4264416677
No,Yes,827.7672094003,10673.5262253922
No,No,430.0000994499,33925.2195976742
No,No,0,31825.7649719215
No,Yes,1557.3446366823,18404.594189222
No,No,928.2369662615,33722.1589415677
No,No,1373.4501632893,49101.7982141897
No,Yes,951.0729075,18601.5332374944
No,Yes,1292.2108685054,23065.850975377
No,Yes,339.4246382809,19307.98029025
No,No,409.9823246088,44641.090118396
No,No,1216.4515095543,53639.8468273843
No,No,598.4613921236,44124.2681146436
Yes,Yes,1486.9981216002,17854.3970280731
No,No,943.7963387138,59976.8398676444
No,No,0,49525.7450208494
No,Yes,996.2760867666,20883.2407676238
No,Yes,748.3013403613,11248.6707527348
No,Yes,575.3821584895,16005.6813190057
No,No,441.7382849263,36012.2358964554
No,No,1188.6421795529,39526.5612652646
No,No,95.1476801904,51371.1999147598
No,No,1015.614837484,43218.794375243
No,No,1258.5673927257,44931.6749177461
No,Yes,1178.2444135285,7750.2892205592
No,No,731.5326562544,43956.0600839728
No,No,350.0887921399,44455.1995150356
No,No,418.8483454338,36901.7833281202
No,No,533.2294651814,39393.5424772748
No,No,95.2969741284,32359.3890284286
No,Yes,1453.005932073,15933.0021109819
No,No,352.6444140315,39404.7443664762
No,Yes,736.2389354625,14107.9939653376
No,No,1306.4845722752,41224.6250242432
No,No,1149.145627179,45194.7946620784
No,No,703.2268907215,57679.2791425179
No,Yes,1360.8004354124,18864.3084886679
No,No,31.4450805447,53287.3503013149
No,No,988.2144580694,48570.3634566327
No,No,647.4835286193,33226.2775446785
No,Yes,0,9816.7894375576
No,No,445.2418192163,31974.6245068978
No,Yes,878.542064501,17496.7414821956
No,Yes,335.8341185762,21759.8702696952
No,No,666.6088814343,30438.4688266267
No,No,813.8766470199,40737.4597766098
No,No,836.3000716232,54607.1787395438
No,No,967.4826836818,33055.1102723298
Yes,Yes,2205.7995211483,14271.492252976
No,Yes,1258.1852191443,11672.2220033397
No,No,1239.8016990846,40107.1722104231
No,Yes,0,13760.2984556873
No,Yes,927.8877322636,22473.3796109537
No,Yes,1390.0307825189,21299.0992265335
No,No,410.497704768,53471.2136303255
No,No,73.0765421847,30681.7375351468
No,No,790.5977592474,45303.1033141261
No,No,789.4950969838,32579.9002059474
No,No,791.3604220787,46319.2361190854
No,No,479.0423789904,37255.8803342804
No,No,888.6132725502,28899.7917513637
No,No,1284.3863605064,42831.9546193997
No,Yes,712.2763512803,23341.9502302432
No,Yes,1290.6201686492,18408.0490819608
No,No,126.3626853991,44280.9297885654
No,No,779.3762576957,61158.8851121863
No,No,697.4909574638,49476.759599281
No,No,606.9746135483,43610.0330173371
No,Yes,1802.9033335574,21411.4239490249
No,No,900.0853325975,41276.5631894987
No,No,966.2802879681,33440.9792997775
No,No,671.0613596392,35689.1118739108
No,No,1482.4803000632,45260.6115977848
No,No,640.6627517325,46464.5659322762
No,Yes,706.161027542,18078.3517921729
Yes,Yes,1774.6942230578,20359.5060855671
No,No,1271.2708123604,36053.5029503061
No,No,110.572909812,47339.1087511931
No,No,1747.2588815296,37819.2890860198
Yes,No,1889.599189763,48956.1715885681
No,No,746.2297750574,35159.8502288788
Yes,Yes,1899.3906258472,20655.2000032624
No,Yes,813.9945655253,20391.5289481713
No,No,499.4578150946,38899.1604610096
No,No,853.1613316609,36272.4517835911
No,No,474.7273190883,32064.3351057974
No,No,1235.8761134542,35838.7770153588
No,No,620.6751525956,44213.770101262
No,No,220.0285697649,37880.0296471597
No,Yes,1304.9142993183,18074.0754152021
No,Yes,1608.1525598434,22358.0467020111
No,No,256.4712275598,37657.0559167999
No,Yes,1153.6049981538,19224.9752298419
No,No,771.8958745085,31170.0852836766
No,Yes,1099.6304221773,17064.0428279584
No,No,782.8830296639,40357.1334266019
No,No,444.2649061753,35924.3387929274
No,No,1762.5034019882,42124.6600673934
No,Yes,850.0961165965,18618.9879075019
No,No,1412.2387213032,40785.0597694212
No,No,715.4968295887,47482.5653767305
No,No,1363.5285994213,55713.0416079129
No,No,493.2418897994,42495.2030840663
No,No,1354.7525372036,33375.1316903778
No,Yes,571.2939110152,15416.2693546858
No,No,956.1513521835,44086.7077342314
No,No,964.8202529854,34390.7460350566
No,No,552.6343660247,50513.1642384347
No,No,338.2662016471,37767.239862893
No,No,709.1233513562,44041.6300941084
No,No,978.9782004105,57839.0537343736
Yes,Yes,1572.8564808236,14930.1783306833
No,No,0,40150.217981059
Yes,No,1964.4768722528,39054.5891443139
No,No,548.0377834425,33605.6494686572
No,No,1257.0552216859,34045.0088247242
No,No,1189.9180569742,38016.8939028578
No,No,687.6837590149,39373.5797462415
No,No,845.6989658385,39899.5126808393
No,Yes,957.6848337701,19676.3456491723
No,No,233.5168462671,43326.105379399
No,Yes,1126.9487439212,14298.2645686729
No,Yes,488.8551765482,15159.4948475337
No,No,767.9035597805,44323.5796638006
No,No,561.9257991244,31388.5056454162
No,Yes,1092.2700127725,17454.6018395308
No,No,71.7886830036,31965.7447145836
No,Yes,1839.1436819622,13625.3979303665
No,Yes,876.0007779067,22474.5740898236
No,No,554.1078115356,30357.0259771625
No,No,891.3178980503,43945.0416541409
No,Yes,563.5426611002,24082.0393441031
Yes,No,1530.3531571461,30003.8171511159
No,No,990.5670261863,41690.2526225589
No,No,590.3997864988,42769.2038801219
No,Yes,715.1641095743,21153.5110081716
No,No,1540.3777266777,41852.0784358238
No,No,1243.3265184083,41639.6803816334
No,Yes,235.3284999089,20909.7047538096
No,No,528.2543231704,49394.340774526
No,No,592.2538956229,30731.201603129
No,No,705.2049719862,42683.187243286
No,No,456.5156439906,48195.7758370754
No,Yes,470.7175746528,18052.1049990983
No,Yes,1503.0751298552,10600.4135403235
No,No,1362.9655954038,44217.9160352291
No,No,908.7715736879,45032.8459851152
No,Yes,1096.8202721452,16148.0600066064
No,No,369.2219424757,47835.0910453142
No,No,673.3998990463,50256.2902118721
No,No,1038.5000075215,51173.1413763774
No,No,0,28762.9237797484
No,No,527.1940865733,32431.1182596039
No,No,817.4693368161,32974.4273524307
No,Yes,1549.0427545174,19702.293205826
No,Yes,566.7137893516,11853.9531668182
No,No,862.6566564167,42844.8340023417
No,No,1259.1494178926,31263.641081672
No,No,1025.0388330316,43510.0496378576
No,Yes,703.2777871027,14793.7426766893
No,Yes,1082.3914973459,15175.3612149216
No,No,910.4490235336,44054.9164232696
No,Yes,996.5438621608,16995.6604049481
No,No,353.778226009,58514.3180764772
No,Yes,782.7108275006,13300.2974683438
No,No,1716.5954182442,51056.8682867977
No,Yes,502.8986383575,15153.965762645
No,No,1033.4684685052,59203.9676630271
No,No,0,34925.3654101008
No,Yes,1087.0834993683,19263.7695817024
No,No,1047.2442488139,43899.7592451193
No,No,1056.9273525241,38367.8679465264
No,Yes,979.2244246329,26010.8878031666
No,Yes,847.8187062531,15978.633625651
No,No,781.7712847631,50958.7905135708
No,Yes,402.488886826,15904.0559208087
No,Yes,2022.6746432423,18336.74316845
No,No,748.937063784,44186.6177602638
No,No,838.2756877524,35917.4906102388
No,No,386.0160492908,44694.0309570293
No,No,812.3992965256,49623.1009820914
No,Yes,1809.9265643936,6985.1359453954
No,No,0,30360.5489438194
No,Yes,1328.1838041191,24688.4737209337
No,Yes,1464.936048827,26716.6863746825
No,No,1200.5651376474,39718.6926569602
No,No,870.7345799258,35539.2702158304
No,Yes,1200.8473900159,19849.8314129485
No,Yes,1428.8320473614,23204.6814610386
No,No,0,33951.2887259244
No,Yes,359.4588665376,21783.2694913357
No,No,265.6839497867,40862.7540056257
No,No,1027.770531692,44406.83691434
No,No,729.0474334976,35042.1329969977
No,No,230.2305878988,37875.614823143
No,No,367.4660121832,30611.2722706897
No,Yes,737.7053539413,20863.7996686999
No,No,18.2612853635,30349.460422935
No,No,1257.7602088919,30834.7713682736
No,No,455.5215132063,40907.3983537652
No,No,56.9675603505,35458.4815614207
No,Yes,723.9319852997,12213.0371368412
No,No,612.3831576774,41379.7678082606
No,Yes,1220.1776056907,15308.1270712607
No,No,1222.3476917141,32363.3710505847
No,No,1165.491138147,47684.2194497489
Yes,No,1642.8199966383,46856.947039092
No,No,944.1735600178,56088.6837995041
No,No,749.6080039007,41423.9411731786
No,No,370.3751867777,31231.0078371514
Yes,No,1991.649120113,42133.3731759574
No,No,773.9152265769,44562.3381169342
No,Yes,817.2498112624,20480.88705606
No,No,1060.7162196767,50260.4643659169
Yes,No,1550.4492644132,56273.5136083638
No,Yes,454.4669622129,15092.439307714
No,Yes,1256.2393254151,17784.5589437522
No,No,1484.3953929752,36731.3086949029
No,Yes,1050.4773279325,12661.6116309912
No,No,986.4006189264,45430.4722089423
No,No,717.3419269517,44266.3765401792
No,No,692.1432226816,47038.0903196941
Yes,No,1328.8927252178,34710.0623657107
No,No,673.4681910561,32930.0693612804
No,No,218.6392970431,48991.3953793342
No,No,1218.1669658237,43954.2774856976
No,Yes,13.5168025504,19322.5450270524
No,Yes,531.4786998501,21726.558972624
No,No,165.5381516952,33436.4557377411
No,Yes,1351.849722333,25890.5039884998
No,No,107.2820830496,54143.9627498165
No,No,947.1935713804,35604.117192781
No,Yes,434.5602592261,14812.6452403767
No,No,1020.0672404886,37458.8792492482
No,No,662.3053180223,31597.8976165624
No,Yes,754.420612921,20767.6830202616
No,No,289.4895756934,44412.8951033074
No,No,198.0384092297,36270.9381202214
No,Yes,516.0604916766,16615.0219627607
No,No,697.5638089898,41755.3981466578
No,Yes,502.3247834678,16947.4229346552
No,Yes,1459.6870830452,15575.419233378
No,No,716.9987226893,34418.2602228491
No,Yes,1037.9727050178,18324.0300568905
No,No,673.0161171961,29735.9615970911
No,No,371.9217847013,41099.7724418194
No,No,89.1349579572,55604.6075315396
No,No,1273.2801810591,40895.2827703241
No,No,905.0381646368,40711.7988982471
No,No,1061.4415621445,54437.0103173027
No,No,1672.6392483048,46334.7877633441
No,Yes,883.7026456003,19750.0940028726
No,No,373.780330004,53936.2417769944
No,No,1287.7951869379,52382.6647043692
No,No,1229.742571479,48739.9273906526
No,Yes,510.6138469543,22457.0517475138
No,No,1152.9828868866,50206.5769341591
No,Yes,1303.6625897017,7986.0003358345
No,No,398.2777330446,30001.7950602906
No,Yes,739.9017593968,25023.8738564122
No,No,226.417696514,32018.7136305149
No,No,639.8205582492,29902.0019867792
No,Yes,883.1669768803,12717.4922312992
No,No,2.287610953,38186.5242727915
No,No,419.6373476659,55967.9931672653
No,Yes,1544.1402498683,11102.5347437309
No,No,1101.015017952,32153.0135926701
Yes,No,1700.5999134866,30488.9834104565
No,No,311.8245868681,48301.0596601046
No,No,442.8302222527,55074.1308290001
No,No,278.8779025201,37188.6683650846
No,No,758.7023275345,36625.9895523394
No,Yes,1890.1674114753,18402.4648845956
No,No,0,28951.4518951572
No,Yes,1329.1988422159,23184.0155485336
No,No,1075.8637723748,44128.6282564037
No,No,618.5275092228,54956.9905446621
No,No,864.0397435185,45881.9302056307
No,No,895.2298096146,48512.4556411759
No,Yes,954.0304336886,21908.5271562436
No,No,947.6349327409,46813.5163080957
No,Yes,1366.8057832287,23913.2088013083
No,No,624.7318835093,38325.1737553638
No,No,785.8664856501,44778.0157756766
No,Yes,1353.0938456951,18933.4961949702
No,No,0,29507.3132469218
No,Yes,1221.971242906,17916.8560894888
No,Yes,1184.9365230234,25108.756711813
No,Yes,478.5720556048,27512.3448997584
No,No,221.6904618934,34786.1013515581
No,No,578.3876216877,41054.1386619277
No,Yes,1361.4584324067,19576.9571319919
No,Yes,977.8480956028,19731.9609897188
No,No,1184.4252448815,36887.439966855
Yes,Yes,1118.7010394308,21848.4429000063
Yes,No,1119.0972447607,37224.5678135129
No,No,776.3499793074,31329.4848506225
No,No,1322.2970910844,51792.4023687088
No,No,0,32611.3730692625
No,No,0,37262.5740938171
No,Yes,366.7869573141,25833.0630989749
No,No,747.5610363779,39898.7690858912
No,No,1787.285143726,37499.0935479677
No,Yes,1929.4469802585,14995.4921684901
No,Yes,856.3573684205,20758.2146891725
No,No,704.1845199807,31515.9816788054
No,No,555.6234366761,40837.7316360849
No,No,1073.4982605984,44764.1105476201
No,No,1126.2230230127,32842.6523719603
No,Yes,649.7733185642,15708.2963812027
No,No,977.6576209973,43743.4967298485
No,No,1049.8899642061,42637.5110638279
No,Yes,1383.5663330639,15764.345875927
No,Yes,1095.4657395796,14065.1675680038
No,No,1089.3717909992,30224.5961304622
No,No,1033.8853990167,49262.0453292257
No,No,1604.7205537548,38186.9850695393
No,Yes,1176.146823285,16670.6807862768
No,Yes,1275.0231993874,19937.0980337404
No,Yes,1290.2831400564,23538.9441422913
No,No,1133.4741993193,51414.4959558752
No,No,837.4125668553,37400.4928845625
No,Yes,379.0821666884,18280.3670338005
No,Yes,1134.166278498,12453.3635924034
No,No,0,39120.0847898987
No,No,1491.1748028047,59394.3830781267
No,Yes,1695.3595856563,9582.9418971221
No,No,705.5733276387,54589.2398684094
No,No,239.1933662657,33743.2265524886
No,Yes,1183.7106414278,12428.6145139245
No,No,898.7618389121,38267.08157841
No,Yes,1524.2904004493,11719.5934790985
No,No,777.023737418,35115.0185512798
No,Yes,0,20476.1557245306
No,No,62.5715751602,47946.7670938155
No,No,514.0540347778,50053.261925801
No,No,722.7880389588,53714.186065152
No,No,152.8663041566,33716.8640608
No,No,293.1847728536,35390.2875967122
No,No,0,38613.6204965308
No,Yes,645.3668572291,17878.3643114477
No,Yes,1515.1528330505,26046.7720831097
No,Yes,767.4395054818,18846.4892212338
No,Yes,491.8797470534,21715.226298099
No,No,0,41389.4352722328
No,No,0,34589.4880601879
No,No,509.155164106,40132.6592071943
No,Yes,965.5873700855,16440.0996975194
No,Yes,1868.5400723075,20489.5981077627
No,No,403.4972058042,41803.7781625719
No,No,593.1436250688,37670.9350241925
No,No,0,44547.8655465918
No,No,742.2900158845,39367.1933081303
No,Yes,1110.1004565319,13013.6105672136
No,No,771.5512952978,49440.4012944686
No,No,624.3388914976,42492.7530686958
No,Yes,499.9572297793,22884.9525653222
No,No,1088.6375203734,60650.0361323175
No,No,1556.4919279677,49669.6688731681
No,Yes,797.0843357314,23558.6830823662
No,No,415.9925025979,38215.6780429903
No,Yes,538.232681166,26833.0396297828
No,Yes,1181.9347023996,21086.0820079429
No,Yes,836.0206886271,9271.7899242311
No,No,104.4432150778,46928.0054911712
No,No,564.2094785779,53196.6230194221
No,Yes,804.5394021547,25091.4607662506
No,No,66.632080735,28735.9741149412
No,No,452.8022288983,48034.2377125974
No,Yes,798.4605101137,27724.0657528508
No,Yes,1941.9029281417,23467.126966094
No,No,761.0640982905,61580.034125346
No,No,1350.1727283575,43147.4555837922
No,No,380.95020056,36943.3619940607
No,Yes,1602.849607094,15906.466797439
No,No,147.6101154885,37588.5626099252
No,No,0,36283.0801271054
No,Yes,733.0725123763,18818.1673820965
No,Yes,1082.747976268,26096.3370339348
No,No,779.6573003105,40804.4757033746
No,No,994.1587121706,65254.0757961504
No,No,769.1813741289,50070.7815461683
No,Yes,684.0985190962,4985.1691133645
Yes,No,1717.0715925861,38408.8909167269
No,No,0,36302.528437156
No,No,1092.345864854,44717.0125770421
No,No,497.3349541158,35146.7987733695
No,Yes,1149.6806549945,16907.7007441301
Yes,No,1465.2101636433,58699.9831975197
No,No,565.3176041571,41789.6110016585
No,Yes,922.1378905024,12224.1851701983
No,Yes,175.5993806048,11510.0578678315
No,No,1024.9468188811,49675.5604190352
No,No,596.8854323037,54091.624759736
No,No,750.4104842089,53084.9074806631
No,Yes,790.8700274328,14183.9700258003
No,No,112.3278724975,42386.0485550432
No,Yes,738.3944873157,16093.2845506875
No,No,1157.8555606887,54419.8085690598
No,No,1213.2431492552,45149.516318112
No,No,1339.6262041855,41656.0028929824
No,No,588.3124302036,56520.9625106958
No,No,721.8081324998,56375.7219879443
No,No,680.8207189734,43843.4741174494
No,Yes,815.4065708735,12071.7624998357
No,No,1042.5071120411,37170.1090492838
No,Yes,663.2498681222,20454.6165493286
No,Yes,1478.6185450645,18026.4710989649
No,No,337.7567539943,33655.5724347316
No,Yes,1273.5507196165,23126.6361991141
No,No,114.179725878,49562.989265344
No,No,0,52295.6009297642
No,Yes,1516.3176892324,26377.5934939198
No,Yes,898.1146731086,24164.7511007409
No,No,790.5905821173,48219.5944665748
No,No,0,29072.7214938039
No,No,1273.2448303306,49136.4741958684
No,No,1279.2004483305,36063.114108959
No,Yes,732.719380889,14568.7474096201
Yes,No,1763.5790878946,46227.0745421357
No,Yes,1280.4184484249,16310.9055269133
No,No,1529.9379953652,36912.8973015701
No,Yes,345.4676364764,18251.4945592886
No,No,197.9894037517,33723.9857591643
Yes,Yes,1770.9694405265,15975.5371965119
No,Yes,639.3719435411,17037.0547998481
No,No,390.5558430767,45338.357214774
No,Yes,830.171511107,19476.5875790804
No,Yes,1378.8760756438,21613.578470166
No,No,242.4034493158,37364.4230927587
No,No,1236.5474935522,36211.4903618167
No,No,1063.7749366931,34914.2752545523
No,No,126.9231789739,33819.1433220656
No,No,758.4655012616,38018.1456896637
No,No,908.9314586446,68758.8783988945
No,No,558.518342411,46297.4254108936
No,No,1819.2423333921,36969.5525152008
No,Yes,1110.6817440055,19327.5750379268
No,No,723.24337467,43459.0118542978
No,No,696.0144306496,40741.4202403335
No,Yes,1178.2489088753,29362.604609009
No,Yes,329.5585108771,19371.8120916883
No,Yes,792.5292384728,14546.30176771
No,No,1246.037757696,33691.7213091022
No,No,591.7607764815,41670.257382541
No,No,1038.5483600604,49944.8651506496
No,No,679.0745867962,49488.5639815129
No,No,1061.415836002,40585.2216446978
No,Yes,1268.2406909193,11914.5782684287
No,Yes,955.5336858198,14736.7208791128
No,Yes,601.1632606102,22029.1935171555
No,No,1097.6000389451,52286.4318229537
No,No,1042.7830726467,45982.9663185287
No,Yes,1321.4430528653,8624.1106887428
No,No,1052.3932601621,37637.6593074495
No,Yes,566.4605126263,24828.2659835652
No,No,769.4142240379,35071.1665353159
No,No,643.4095264648,28660.1401685022
No,No,0,42745.3020131405
No,No,437.6360625962,45384.0474502375
No,No,1278.865641614,34673.1709932026
No,No,1639.3905719663,30624.7759284918
No,No,891.6437372658,36470.8283401861
No,Yes,316.4590483132,18813.9402088352
No,No,622.9295073872,48874.5557680461
No,No,107.277526759,42287.3028620524
No,Yes,990.543215774,12398.4906038395
No,No,0,45659.9957026185
No,No,0,33119.9553306198
No,No,591.2184872888,35287.8245843759
No,Yes,928.0600782656,21121.8448328186
No,No,304.5992238988,40785.9891775391
No,No,235.9394976868,31336.5101185978
No,Yes,1108.053517681,10853.2309395985
No,No,60.1860361263,39864.8635503901
No,No,0,34648.9725974223
No,No,272.8932571451,58730.5728615017
Yes,No,1531.7164593198,43930.4000955678
No,No,949.6086485133,47702.5737457984
No,No,561.9161784551,35080.5792438221
No,Yes,993.1081699918,12215.9468218066
No,No,0,31314.6950884232
No,Yes,759.4783691782,12710.7209232412
No,No,1340.7872092965,36440.2283216228
No,Yes,1521.4633955023,15210.4740694568
No,No,133.7433443497,30457.0163661004
Yes,No,780.1725691715,51656.8740637741
No,No,913.5058729379,36670.8542230351
No,No,924.881441457,35712.6379057533
No,No,1197.8315046117,54652.3092984374
No,No,49.209665896,30451.152858766
No,No,970.7160965858,48387.648617342
No,No,783.0574005403,54082.4240845222
No,Yes,465.0628886139,20379.0620895269
No,No,0,39337.7499765406
No,Yes,732.2642675945,21986.0454536505
No,No,576.0912613441,37679.6985892523
No,Yes,588.9910562522,16309.8754485617
No,No,863.1407178312,43779.4778545985
No,No,857.5757339739,49675.3703182707
No,No,361.5017310611,33674.8902393376
No,No,891.1554270667,36023.0850073461
No,No,918.1222059654,44738.5560304555
No,No,421.4008434251,39873.5217445341
No,Yes,743.6361444771,18883.9715059268
No,No,773.7403724634,41872.4947626065
No,No,731.3934721696,45251.8819209678
No,No,964.188922685,36330.3945986058
No,Yes,350.0151842642,17657.1726575117
No,No,1206.6613620545,37125.5913512782
No,No,1051.9475732674,52888.1850963327
No,No,454.7603706778,45572.172484486
No,No,932.6653075355,42758.6007035183
No,No,535.7458464688,36259.4637552901
No,No,241.8052521687,41186.1828072136
No,No,1026.5067098024,42042.1679417363
No,Yes,187.6798855715,18278.833967134
No,No,197.5383214791,58646.9278047098
No,No,585.7080882594,43288.4003826895
No,Yes,1947.0224011618,12147.0464091645
No,No,829.5475974923,39717.5376088077
No,No,196.9384595398,35488.4488835876
No,No,591.8636190186,31438.7760126708
No,No,0,39742.1054579553
No,Yes,1008.2916186762,11939.2952561454
No,Yes,1052.2274777406,17410.751592587
No,No,331.6805267361,49756.1710110556
No,No,913.1072039745,29414.6521751635
No,Yes,561.3916121686,21747.2631759341
No,No,246.9554629787,47692.8942495176
No,No,578.9786100857,46304.717476204
No,No,557.8087771283,62352.8460745643
No,Yes,788.2517515905,10418.1828574391
No,No,1060.8074292702,39174.0563607053
No,Yes,1247.9070287109,19816.720143272
No,No,1184.3607232523,34259.9901986231
No,No,1024.5782382886,33071.5499188853
No,No,1080.2916555678,43367.8995668736
No,No,1448.835465375,33835.7362563617
No,Yes,561.194035284,27421.1112560912
No,No,1191.4803065891,30040.5721479464
No,No,565.1389875319,38202.5839366837
No,No,482.9821952205,35845.192831506
No,No,950.3500933487,37486.2495546276
No,Yes,350.7029134552,21235.360416199
Yes,Yes,1551.0234688606,19027.5086325602
No,No,981.5962750868,37747.9133548875
No,No,1060.3358600879,56607.2539731991
No,No,1154.8907922967,61794.3463333657
No,Yes,544.1397692615,20056.828543898
No,No,414.0840494902,47811.4189244222
No,Yes,436.0083144183,17504.44777329
No,No,679.3918417655,46603.5464098654
No,No,1377.7720071858,51633.329550876
No,No,856.8119604597,32437.1318348945
No,No,1036.6768332859,44923.8027469326
No,No,0,46826.8044671654
No,No,961.472070663,51936.7598875077
No,No,275.9880912601,35622.829451765
No,No,426.6935420997,30769.3447724704
No,No,290.2519081526,46214.1592342021
No,No,934.9697034577,42325.7499854437
No,Yes,668.9911555875,26342.0484612914
No,Yes,2004.72756831,27136.5379770062
No,No,1312.8657297515,29938.2594627799
No,Yes,662.273556493,15092.0510234018
No,No,524.6398059894,36120.8922605785
No,Yes,1212.5895675979,21058.3486627819
No,No,961.315769352,30290.8065048843
Yes,Yes,1504.2901781379,13965.1860445333
No,Yes,613.6563180231,25040.4884531578
No,Yes,1233.3436046567,13402.0732850411
No,No,1221.385959345,36961.3151242225
No,No,1217.0568066847,46256.7804872945
No,No,628.7576984437,43205.1752975326
No,Yes,819.0973161085,15957.9436405491
No,Yes,843.4934550754,12710.0257138998
No,No,1173.5598150025,29141.3657347634
No,Yes,1195.5902830658,13329.5964048166
No,No,24.8718234851,29316.9703343848
No,No,853.2414215847,29484.0523801776
No,No,398.7757052836,40223.9098079387
No,Yes,1521.1723955547,18149.8861866188
No,Yes,1160.2217927032,15941.0508838215
No,No,985.614062737,49948.4671119046
No,No,583.8207192567,38215.9647632209
No,Yes,638.6919826031,18148.3017050128
No,No,1050.7642306908,31558.8984246114
Yes,Yes,1871.9383869436,18077.4870927503
No,No,793.7617176093,35157.7399755377
No,Yes,591.660651333,21790.5024250406
No,Yes,514.2838902065,18185.4796974861
No,Yes,1029.6815485602,15977.3211389052
No,Yes,953.6263238125,18363.0684974424
No,Yes,1463.3377651496,11579.1594522765
No,No,1172.4594991058,34690.1382789868
No,Yes,548.2728639448,12048.8228922671
No,No,1752.883788563,48250.1046209779
No,Yes,555.9206801605,23909.7064937556
